Sample_ID	Name	Buffer	Mineral	Extraction	Replicate	Value
1	Rohland	A	Bentonite	Silica Magnetic Beads	1	216.23
2	Rohland	A	Bentonite	Silica Magnetic Beads	2	283.64
3	Rohland	A	Bentonite	Silica Magnetic Beads	3	248.44
4	Rohland	A	Bentonite	Silica Magnetic Beads	4	239.30
5	Rohland	A	Sand	Silica Magnetic Beads	1	252.72
6	Rohland	A	Sand	Silica Magnetic Beads	2	263.90
7	Rohland	A	Sand	Silica Magnetic Beads	3	233.61
8	Rohland	A	Sand	Silica Magnetic Beads	4	247.03
9	Rohland	A	Kaolin	Silica Magnetic Beads	1	310.86
10	Rohland	A	Kaolin	Silica Magnetic Beads	2	331.25
11	Rohland	A	Kaolin	Silica Magnetic Beads	3	325.56
12	Rohland	A	Kaolin	Silica Magnetic Beads	4	363.39
13	Rohland	A	Bentonite	Precipitation	1	325.55
14	Rohland	A	Bentonite	Precipitation	2	314.48
15	Rohland	A	Bentonite	Precipitation	3	229.04
16	Rohland	A	Bentonite	Precipitation	4	282.82
17	Rohland	A	Sand	Precipitation	1	183.90
18	Rohland	A	Sand	Precipitation	2	267.88
19	Rohland	A	Sand	Precipitation	3	293.00
20	Rohland	A	Sand	Precipitation	4	239.21
21	Rohland	A	Kaolin	Precipitation	1	299.29
22	Rohland	A	Kaolin	Precipitation	2	395.86
23	Rohland	A	Kaolin	Precipitation	3	287.53
24	Rohland	A	Kaolin	Precipitation	4	229.67
73	PowerSoil	C	Bentonite	Silica Magnetic Beads	1	25.12
74	PowerSoil	C	Bentonite	Silica Magnetic Beads	2	23.58
75	PowerSoil	C	Bentonite	Silica Magnetic Beads	3	775.52
76	PowerSoil	C	Bentonite	Silica Magnetic Beads	4	323.83
075_1	PowerSoil	C	Bentonite	Silica Magnetic Beads	5	121.22
075_2	PowerSoil	C	Bentonite	Silica Magnetic Beads	6	155.98
121	PowerSoil	C	Bentonite	Silica Magnetic Beads	7	120.51
122	PowerSoil	C	Bentonite	Silica Magnetic Beads	8	81.73
77	PowerSoil	C	Sand	Silica Magnetic Beads	1	115.21
78	PowerSoil	C	Sand	Silica Magnetic Beads	2	89.08
79	PowerSoil	C	Sand	Silica Magnetic Beads	3	170.74
80	PowerSoil	C	Sand	Silica Magnetic Beads	4	77.89
81	PowerSoil	C	Kaolin	Silica Magnetic Beads	1	0.00
82	PowerSoil	C	Kaolin	Silica Magnetic Beads	2	0.00
83	PowerSoil	C	Kaolin	Silica Magnetic Beads	3	0.00
84	PowerSoil	C	Kaolin	Silica Magnetic Beads	4	6.59
85	PowerSoil	C	Bentonite	Precipitation	1	40.02
86	PowerSoil	C	Bentonite	Precipitation	2	136.66
87	PowerSoil	C	Bentonite	Precipitation	3	53.24
88	PowerSoil	C	Bentonite	Precipitation	4	52.93
89	PowerSoil	C	Sand	Precipitation	1	109.57
90	PowerSoil	C	Sand	Precipitation	2	101.69
91	PowerSoil	C	Sand	Precipitation	3	113.52
92	PowerSoil	C	Sand	Precipitation	4	104.11
93	PowerSoil	C	Kaolin	Precipitation	1	0.00
94	PowerSoil	C	Kaolin	Precipitation	2	7.40
95	PowerSoil	C	Kaolin	Precipitation	3	0.00
96	PowerSoil	C	Kaolin	Precipitation	4	0.00
25	Pedersen	D	Bentonite	Silica Magnetic Beads	1	13.36
26	Pedersen	D	Bentonite	Silica Magnetic Beads	2	15.47
27	Pedersen	D	Bentonite	Silica Magnetic Beads	3	15.40
28	Pedersen	D	Bentonite	Silica Magnetic Beads	4	15.66
29	Pedersen	D	Sand	Silica Magnetic Beads	1	295.27
30	Pedersen	D	Sand	Silica Magnetic Beads	2	274.95
31	Pedersen	D	Sand	Silica Magnetic Beads	3	249.20
32	Pedersen	D	Sand	Silica Magnetic Beads	4	280.26
33	Pedersen	D	Kaolin	Silica Magnetic Beads	1	54.38
34	Pedersen	D	Kaolin	Silica Magnetic Beads	2	18.60
35	Pedersen	D	Kaolin	Silica Magnetic Beads	3	39.94
36	Pedersen	D	Kaolin	Silica Magnetic Beads	4	41.47
37	Pedersen	D	Bentonite	Precipitation	1	30.48
38	Pedersen	D	Bentonite	Precipitation	2	58.58
39	Pedersen	D	Bentonite	Precipitation	3	33.41
40	Pedersen	D	Bentonite	Precipitation	4	45.23
41	Pedersen	D	Sand	Precipitation	1	297.70
42	Pedersen	D	Sand	Precipitation	2	453.34
43	Pedersen	D	Sand	Precipitation	3	378.57
44	Pedersen	D	Sand	Precipitation	4	414.24
143	Pedersen	D	Sand	Precipitation	5	124.64
144	Pedersen	D	Sand	Precipitation	6	256.76
145	Pedersen	D	Sand	Precipitation	7	159.99
45	Pedersen	D	Kaolin	Precipitation	1	122.29
