Well;Sample ID;Range;ng/uL;% Total;nmole/L;Avg. Size;%CV;Size Threshold (b.p.);DQN
E5;404;25 bp to 157 bp;0.8766;15.4;22.7148;63;55.37;300;4
E5;404;157 bp to 500 bp;3.7536;65.9;22.3153;277;32.58;300;4
E5;404;157 bp to 177 bp;0.2289;4;2.2145;170;3.26;300;4
E5;404;177 bp to 202 bp;0.6866;12.1;5.9479;190;3.7;300;4
E5;404;202 bp to 227 bp;0.6018;10.6;4.6228;214;3.42;300;4
E5;404;227 bp to 277 bp;0.7858;13.8;5.1691;250;5.81;300;4
E5;404;277 bp to 327 bp;0.4889;8.6;2.6802;300;4.92;300;4
E5;404;327 bp to 427 bp;0.6488;11.4;2.8499;375;7.73;300;4
E6;Lib_b_1;25 bp to 157 bp;0.8461;97.8;15.3094;91;44.89;300;0
E6;Lib_b_1;157 bp to 500 bp;0.0102;1.2;0.0995;168;16.03;300;0
E6;Lib_b_1;157 bp to 177 bp;0.0091;1.1;0.0924;163;2.81;300;0
E6;Lib_b_1;177 bp to 202 bp;0.0009;0.1;0.0076;184;3.06;300;0
E6;Lib_b_1;202 bp to 227 bp;0;0;0.0004;204;0.18;300;0
E6;Lib_b_1;227 bp to 277 bp;0;0;NaN;NaN;NaN;300;0
E6;Lib_b_1;277 bp to 327 bp;0;0;NaN;NaN;NaN;300;0
E6;Lib_b_1;327 bp to 427 bp;0.0002;0;0.0009;352;0.22;300;0
E7;408;25 bp to 157 bp;1.0864;30.5;16.9777;105;39.56;300;0.3
E7;408;157 bp to 500 bp;2.4657;69.2;20.0147;203;22.1;300;0.3
E7;408;157 bp to 177 bp;0.6299;17.7;6.0918;170;3.16;300;0.3
E7;408;177 bp to 202 bp;1.0624;29.8;9.3193;187;3.68;300;0.3
E7;408;202 bp to 227 bp;0.3966;11.1;3.0636;213;3.4;300;0.3
E7;408;227 bp to 277 bp;0.2649;7.4;1.7669;247;5.71;300;0.3
E7;408;277 bp to 327 bp;0.0823;2.3;0.4544;298;4.87;300;0.3
E7;408;327 bp to 427 bp;0.0621;1.7;0.2782;367;7.47;300;0.3
F5;405;25 bp to 157 bp;0.1019;29.4;2.5547;65;66.81;300;0.1
F5;405;157 bp to 500 bp;0.2406;69.5;2.0053;197;16.31;300;0.1
F5;405;157 bp to 177 bp;0.0717;20.7;0.6949;170;3.06;300;0.1
F5;405;177 bp to 202 bp;0.0939;27.2;0.8235;188;3.73;300;0.1
F5;405;202 bp to 227 bp;0.041;11.8;0.3162;213;3.4;300;0.1
F5;405;227 bp to 277 bp;0.0303;8.8;0.2025;246;5.5;300;0.1
F5;405;277 bp to 327 bp;0.0067;1.9;0.0375;294;4.29;300;0.1
F5;405;327 bp to 427 bp;0.0013;0.4;0.0062;345;3.03;300;0.1
F6;Lib_b_2;25 bp to 157 bp;0.9341;94.8;22.3725;68;53.79;300;0.1
F6;Lib_b_2;157 bp to 500 bp;0.0303;3.1;0.2053;242;31.52;300;0.1
F6;Lib_b_2;157 bp to 177 bp;0.0079;0.8;0.0794;164;3.54;300;0.1
F6;Lib_b_2;177 bp to 202 bp;0.0035;0.4;0.031;188;3.71;300;0.1
