Range	Sample_ID	Sediment_ID	Buffer	Method	Percent	Absolute
157-177 bp	400	N_PAC	Rohland	Mag_Beads	0.1971250016342650000	3.0155
177-202 bp	400	N_PAC	Rohland	Mag_Beads	0.3127263456535100000	4.7839
202-227 bp	400	N_PAC	Rohland	Mag_Beads	0.1944513446729510000	2.9746
227-277 bp	400	N_PAC	Rohland	Mag_Beads	0.1876005072757460000	2.8698
277-327 bp	400	N_PAC	Rohland	Mag_Beads	0.0665211081621714000	1.0176
327-427 bp	400	N_PAC	Rohland	Mag_Beads	0.0415756926013571000	0.636
157-177 bp	401	MID_PAC	Rohland	Mag_Beads	0.5781884123811260000	15.2725
177-202 bp	401	MID_PAC	Rohland	Mag_Beads	0.3514484523593190000	9.2833
202-227 bp	401	MID_PAC	Rohland	Mag_Beads	0.0461112120661457000	1.218
227-277 bp	401	MID_PAC	Rohland	Mag_Beads	0.0197316615179599000	0.5212
277-327 bp	401	MID_PAC	Rohland	Mag_Beads	0.0030210794112302400	0.0798
327-427 bp	401	MID_PAC	Rohland	Mag_Beads	0.0014991822642195200	0.0396
157-177 bp	402	BS_SAP	Rohland	Mag_Beads	0.2112503475189720000	2.0516
177-202 bp	402	BS_SAP	Rohland	Mag_Beads	0.3577231586642910000	3.4741
202-227 bp	402	BS_SAP	Rohland	Mag_Beads	0.1869600584861560000	1.8157
227-277 bp	402	BS_SAP	Rohland	Mag_Beads	0.1558326554568200000	1.5134
277-327 bp	402	BS_SAP	Rohland	Mag_Beads	0.0527508057291720000	0.5123
327-427 bp	402	BS_SAP	Rohland	Mag_Beads	0.0354829741445885000	0.3446
157-177 bp	403	BS_LAC	Rohland	Mag_Beads	0.2115256518544460000	12.3212
177-202 bp	403	BS_LAC	Rohland	Mag_Beads	0.3682488343187550000	21.4502
202-227 bp	403	BS_LAC	Rohland	Mag_Beads	0.1920781744641990000	11.1884
227-277 bp	403	BS_LAC	Rohland	Mag_Beads	0.1527368616221340000	8.8968
277-327 bp	403	BS_LAC	Rohland	Mag_Beads	0.0466100821985538000	2.715
327-427 bp	403	BS_LAC	Rohland	Mag_Beads	0.0288003955419130000	1.6776
157-177 bp	404	SG_CLY	Rohland	Mag_Beads	0.0942966394713086000	2.2145
177-202 bp	404	SG_CLY	Rohland	Mag_Beads	0.2532702559997270000	5.9479
202-227 bp	404	SG_CLY	Rohland	Mag_Beads	0.1968455655669300000	4.6228
227-277 bp	404	SG_CLY	Rohland	Mag_Beads	0.2201078162524910000	5.1691
277-327 bp	404	SG_CLY	Rohland	Mag_Beads	0.1141268246154890000	2.6802
327-427 bp	404	SG_CLY	Rohland	Mag_Beads	0.1213528980940540000	2.8499
157-177 bp	405	N_PAC	Rohland	Precipitation	0.3339580930411380000	0.6949
177-202 bp	405	N_PAC	Rohland	Precipitation	0.3957612456747400000	0.8235
202-227 bp	405	N_PAC	Rohland	Precipitation	0.1519607843137250000	0.3162
227-277 bp	405	N_PAC	Rohland	Precipitation	0.0973183391003460000	0.2025
277-327 bp	405	N_PAC	Rohland	Precipitation	0.0180219146482122000	0.0375
327-427 bp	405	N_PAC	Rohland	Precipitation	0.0029796232218377500	0.0062
157-177 bp	406	MID_PAC	Rohland	Precipitation	0.6075489192810660000	10.7459
177-202 bp	406	MID_PAC	Rohland	Precipitation	0.3491827469427220000	6.1761
202-227 bp	406	MID_PAC	Rohland	Precipitation	0.0283593312715904000	0.5016
227-277 bp	406	MID_PAC	Rohland	Precipitation	0.0119294635133683000	0.211
277-327 bp	406	MID_PAC	Rohland	Precipitation	0.0015095577052461400	0.0267
327-427 bp	406	MID_PAC	Rohland	Precipitation	0.0014699812860074700	0.026
157-177 bp	407	BS_SAP	Rohland	Precipitation	0.3456380234800950000	7.6517
177-202 bp	407	BS_SAP	Rohland	Precipitation	0.3342051414090770000	7.3986
202-227 bp	407	BS_SAP	Rohland	Precipitation	0.1471232592070610000	3.257
227-277 bp	407	BS_SAP	Rohland	Precipitation	0.1132040527782670000	2.5061
277-327 bp	407	BS_SAP	Rohland	Precipitation	0.0359519195587657000	0.7959
327-427 bp	407	BS_SAP	Rohland	Precipitation	0.0238776035667340000	0.5286
157-177 bp	408	BS_LAC	Rohland	Precipitation	0.2904425436965410000	6.0918
177-202 bp	408	BS_LAC	Rohland	Precipitation	0.4443220718787840000	9.3193
202-227 bp	408	BS_LAC	Rohland	Precipitation	0.1460651657750950000	3.0636
227-277 bp	408	BS_LAC	Rohland	Precipitation	0.0842415920511867000	1.7669
277-327 bp	408	BS_LAC	Rohland	Precipitation	0.0216647118841243000	0.4544
327-427 bp	408	BS_LAC	Rohland	Precipitation	0.0132639147142680000	0.2782
157-177 bp	409	SG_CLY	Rohland	Precipitation	0.1492463158641860000	1.6822
177-202 bp	409	SG_CLY	Rohland	Precipitation	0.2827446700912940000	3.1869
202-227 bp	409	SG_CLY	Rohland	Precipitation	0.1842378430172210000	2.0766
227-277 bp	409	SG_CLY	Rohland	Precipitation	0.1840958895602100000	2.075
