Buffer	Mineral	Extraction	Replicate	Value
Rohland	Bentonite	Magnetic_Beads	1	293.97
Rohland	Bentonite	Magnetic_Beads	2	372.66
Rohland	Bentonite	Magnetic_Beads	3	439
Rohland	Bentonite	Magnetic_Beads	4	284.34
Rohland	Sand	Magnetic_Beads	1	334.92
Rohland	Sand	Magnetic_Beads	2	469.45
Rohland	Sand	Magnetic_Beads	3	395.87
Rohland	Sand	Magnetic_Beads	4	323.18
Rohland	Kaolin	Magnetic_Beads	1	521.66
Rohland	Kaolin	Magnetic_Beads	2	599.81
Rohland	Kaolin	Magnetic_Beads	3	353.28
Rohland	Kaolin	Magnetic_Beads	4	409.31
Rohland	Bentonite	Precipitation	1	346.68
Rohland	Bentonite	Precipitation	2	363.49
Rohland	Bentonite	Precipitation	3	327.17
Rohland	Bentonite	Precipitation	4	383.15
Rohland	Sand	Precipitation	1	378.44
Rohland	Sand	Precipitation	2	295.26
Rohland	Sand	Precipitation	3	338.58
Rohland	Sand	Precipitation	4	289.63
Rohland	Kaolin	Precipitation	1	463.02
Rohland	Kaolin	Precipitation	2	447.22
Rohland	Kaolin	Precipitation	3	360.56
Rohland	Kaolin	Precipitation	4	363.33
PowerSoil	Bentonite	Magnetic_Beads	1	24.16
PowerSoil	Bentonite	Magnetic_Beads	2	33.65
PowerSoil	Bentonite	Magnetic_Beads	3	1282.68
PowerSoil	Bentonite	Magnetic_Beads	4	387.06
PowerSoil	Bentonite	Magnetic_Beads	5	186.62
PowerSoil	Bentonite	Magnetic_Beads	6	214.84
PowerSoil	Bentonite	Magnetic_Beads	7	200.62
PowerSoil	Bentonite	Magnetic_Beads	8	135.02
PowerSoil	Sand	Magnetic_Beads	1	91.6
PowerSoil	Sand	Magnetic_Beads	2	155.82
PowerSoil	Sand	Magnetic_Beads	3	290.55
PowerSoil	Sand	Magnetic_Beads	4	92.07
PowerSoil	Kaolin	Magnetic_Beads	1	0
PowerSoil	Kaolin	Magnetic_Beads	2	0
PowerSoil	Kaolin	Magnetic_Beads	3	0
PowerSoil	Kaolin	Magnetic_Beads	4	0
PowerSoil	Bentonite	Precipitation	1	76.22
PowerSoil	Bentonite	Precipitation	2	195.03
PowerSoil	Bentonite	Precipitation	3	87.01
PowerSoil	Bentonite	Precipitation	4	75.06
PowerSoil	Sand	Precipitation	1	160.64
PowerSoil	Sand	Precipitation	2	173.36
PowerSoil	Sand	Precipitation	3	178.99
PowerSoil	Sand	Precipitation	4	171.74
PowerSoil	Kaolin	Precipitation	1	16.83
PowerSoil	Kaolin	Precipitation	2	16.7
PowerSoil	Kaolin	Precipitation	3	16.44
PowerSoil	Kaolin	Precipitation	4	16.18
Pedersen	Bentonite	Magnetic_Beads	1	9.01
Pedersen	Bentonite	Magnetic_Beads	2	22.18
Pedersen	Bentonite	Magnetic_Beads	3	30.03
Pedersen	Bentonite	Magnetic_Beads	4	24.78
Pedersen	Sand	Magnetic_Beads	1	440.1
Pedersen	Sand	Magnetic_Beads	2	523.91
Pedersen	Sand	Magnetic_Beads	3	352.6
Pedersen	Sand	Magnetic_Beads	4	387.2
Pedersen	Kaolin	Magnetic_Beads	1	77.67
Pedersen	Kaolin	Magnetic_Beads	2	23.21
Pedersen	Kaolin	Magnetic_Beads	3	70.03
Pedersen	Kaolin	Magnetic_Beads	4	42.39
Pedersen	Bentonite	Precipitation	1	61.11
Pedersen	Bentonite	Precipitation	2	96.19
Pedersen	Bentonite	Precipitation	3	94.42
Pedersen	Bentonite	Precipitation	4	62.81
Pedersen	Sand	Precipitation	1	1147.8
Pedersen	Sand	Precipitation	2	593.93
Pedersen	Sand	Precipitation	3	827.23
Pedersen	Sand	Precipitation	4	608.81
Pedersen	Sand	Precipitation	5	327.81
Pedersen	Sand	Precipitation	6	663.33
Pedersen	Sand	Precipitation	7	532.31
Pedersen	Kaolin	Precipitation	1	201.89
Pedersen	Kaolin	Precipitation	2	203.28
Pedersen	Kaolin	Precipitation	3	258.86
Pedersen	Kaolin	Precipitation	4	224.4
Lever	Bentonite	Magnetic_Beads	1	0
Lever	Bentonite	Magnetic_Beads	2	0
Lever	Bentonite	Magnetic_Beads	3	0
Lever	Bentonite	Magnetic_Beads	4	0
Lever	Sand	Magnetic_Beads	1	135.76
Lever	Sand	Magnetic_Beads	2	189.54
Lever	Sand	Magnetic_Beads	3	213.91
Lever	Sand	Magnetic_Beads	4	224.89
Lever	Kaolin	Magnetic_Beads	1	0
Lever	Kaolin	Magnetic_Beads	2	4.44
Lever	Kaolin	Magnetic_Beads	3	9.9
Lever	Kaolin	Magnetic_Beads	4	0
Lever	Bentonite	Precipitation	1	0
Lever	Bentonite	Precipitation	2	20.48
Lever	Bentonite	Precipitation	3	19.94
Lever	Bentonite	Precipitation	4	40.99
Lever	Sand	Precipitation	1	148.46
Lever	Sand	Precipitation	2	848.12
Lever	Sand	Precipitation	3	150.08
Lever	Sand	Precipitation	4	443.59
Lever	Sand	Precipitation	5	344.22
Lever	Sand	Precipitation	6	294.54
Lever	Sand	Precipitation	7	574.46
Lever	Sand	Precipitation	8	523.55
Lever	Sand	Precipitation	9	1749.47
Lever	Sand	Precipitation	10	1348.83
Lever	Sand	Precipitation	11	911.25
Lever	Sand	Precipitation	12	598.38
Lever	Kaolin	Precipitation	1	15.54
Lever	Kaolin	Precipitation	2	17.21
Lever	Kaolin	Precipitation	3	17.73
Lever	Kaolin	Precipitation	4	15.92
Direito	Bentonite	Magnetic_Beads	1	298.27
Direito	Bentonite	Magnetic_Beads	2	389.93
Direito	Bentonite	Magnetic_Beads	3	396.35
Direito	Bentonite	Magnetic_Beads	4	329.46
Direito	Sand	Magnetic_Beads	1	376.01
Direito	Sand	Magnetic_Beads	2	420.51
Direito	Sand	Magnetic_Beads	3	241.21
Direito	Sand	Magnetic_Beads	4	380.78
Direito	Kaolin	Magnetic_Beads	1	828.46
Direito	Kaolin	Magnetic_Beads	2	705.74
Direito	Kaolin	Magnetic_Beads	3	413.75
Direito	Kaolin	Magnetic_Beads	4	755.63
Direito	Kaolin	Magnetic_Beads	5	478.69
Direito	Kaolin	Magnetic_Beads	6	419.26
Direito	Kaolin	Magnetic_Beads	7	913.3
Direito	Kaolin	Magnetic_Beads	8	738.79
Direito	Kaolin	Magnetic_Beads	9	625
Direito	Bentonite	Precipitation	1	302.81
Direito	Bentonite	Precipitation	2	355.08
Direito	Bentonite	Precipitation	3	478.36
Direito	Bentonite	Precipitation	4	496.33
Direito	Sand	Precipitation	1	179.92
Direito	Sand	Precipitation	2	287.93
Direito	Sand	Precipitation	3	217.39
Direito	Sand	Precipitation	4	132.42
Direito	Kaolin	Precipitation	1	383.53
Direito	Kaolin	Precipitation	2	461.71
Direito	Kaolin	Precipitation	3	453.61
Direito	Kaolin	Precipitation	4	1896.5
Direito	Kaolin	Precipitation	5	1218.57
Direito	Kaolin	Precipitation	6	1062.96
Direito	Kaolin	Precipitation	7	733.82
Direito	Kaolin	Precipitation	8	460.17
Direito	Kaolin	Precipitation	9	502.92
