Buffer	Mineral	Extraction	Replicate	Value
Rohland	N-PAC	Magnetic_Beads	1	14.87
Rohland	N-PAC	Magnetic_Beads	2	16.44
Rohland	N-PAC	Magnetic_Beads	3	16.07
Rohland	MID-PAC	Magnetic_Beads	1	19.94
Rohland	MID-PAC	Magnetic_Beads	2	16.44
Rohland	MID-PAC	Magnetic_Beads	3	15.7
Rohland	BS-SAP	Magnetic_Beads	1	280.41
Rohland	BS-SAP	Magnetic_Beads	2	151.15
Rohland	BS-SAP	Magnetic_Beads	3	223.47
Rohland	BS-LAC	Magnetic_Beads	1	17.73
Rohland	BS-LAC	Magnetic_Beads	2	16.81
Rohland	BS-LAC	Magnetic_Beads	3	18.38
Rohland	SG-CLY	Magnetic_Beads	1	407.93
Rohland	SG-CLY	Magnetic_Beads	2	553.97
Rohland	SG-CLY	Magnetic_Beads	3	605.75
Rohland	N-PAC	Precipitation	1	8.9
Rohland	N-PAC	Precipitation	2	14.52
Rohland	MID-PAC	Precipitation	1	19.77
Rohland	MID-PAC	Precipitation	2	24.13
Rohland	BS-SAP	Precipitation	1	259.1
Rohland	BS-SAP	Precipitation	2	281.42
Rohland	BS-LAC	Precipitation	1	26.36
Rohland	BS-LAC	Precipitation	2	23.26
Rohland	SG-CLY	Precipitation	1	744.76
Rohland	SG-CLY	Precipitation	2	707.3
Rohland+L	N-PAC	Magnetic_Beads	1	214.17
Rohland+L	N-PAC	Magnetic_Beads	2	261.25
Rohland+L	MID-PAC	Magnetic_Beads	1	481.46
Rohland+L	MID-PAC	Magnetic_Beads	2	2124.72
Rohland+L	BS-SAP	Magnetic_Beads	1	594.42
Rohland+L	BS-SAP	Magnetic_Beads	2	836.64
Rohland+L	BS-LAC	Magnetic_Beads	1	244.94
Rohland+L	BS-LAC	Magnetic_Beads	2	82.5
Rohland+L	SG-CLY	Magnetic_Beads	1	945.36
Rohland+L	SG-CLY	Magnetic_Beads	2	819.23
Rohland+L	N-PAC	Precipitation	1	1862.24
Rohland+L	N-PAC	Precipitation	2	487.56
Rohland+L	MID-PAC	Precipitation	1	817.84
Rohland+L	MID-PAC	Precipitation	2	2000.44
Rohland+L	BS-SAP	Precipitation	1	915.77
Rohland+L	BS-SAP	Precipitation	2	597.43
Rohland+L	BS-LAC	Precipitation	1	377.21
Rohland+L	BS-LAC	Precipitation	2	444.28
Rohland+L	SG-CLY	Precipitation	1	1051.93
Rohland+L	SG-CLY	Precipitation	2	1071.73
Rohland	BLANK_BEADS	Magnetic_Beads	1	0
Rohland	BLANK_PCI	Precipitation	1	16.56
Direito	N-PAC	Magnetic_Beads	1	6.01
Direito	N-PAC	Magnetic_Beads	2	6.25
Direito	MID-PAC	Magnetic_Beads	1	0
Direito	MID-PAC	Magnetic_Beads	2	0
Direito	BS-SAP	Magnetic_Beads	1	185.76
Direito	BS-SAP	Magnetic_Beads	2	205.62
Direito	BS-LAC	Magnetic_Beads	1	9.02
Direito	BS-LAC	Magnetic_Beads	2	8.78
Direito	SG-CLY	Magnetic_Beads	1	665.53
Direito	SG-CLY	Magnetic_Beads	2	917.99
Direito	N-PAC	Precipitation	1	0
Direito	N-PAC	Precipitation	2	0
Direito	MID-PAC	Precipitation	1	0
Direito	MID-PAC	Precipitation	2	0
Direito	BS-SAP	Precipitation	1	177.21
Direito	BS-SAP	Precipitation	2	164.33
Direito	BS-LAC	Precipitation	1	10.35
Direito	BS-LAC	Precipitation	2	17.81
Direito	SG-CLY	Precipitation	1	276.18
Direito	SG-CLY	Precipitation	2	303.99
Direito+L	N-PAC	Magnetic_Beads	1	430.64
Direito+L	N-PAC	Magnetic_Beads	2	2572.93
Direito+L	MID-PAC	Magnetic_Beads	1	222.96
Direito+L	MID-PAC	Magnetic_Beads	2	619.18
Direito+L	BS-SAP	Magnetic_Beads	1	548.87
Direito+L	BS-SAP	Magnetic_Beads	2	1716.33
Direito+L	BS-LAC	Magnetic_Beads	1	185.04
Direito+L	BS-LAC	Magnetic_Beads	2	170.71
Direito+L	SG-CLY	Magnetic_Beads	1	962.06
Direito+L	SG-CLY	Magnetic_Beads	2	1107.61
Direito+L	N-PAC	Precipitation	1	158.19
Direito+L	N-PAC	Precipitation	2	331.56
Direito+L	MID-PAC	Precipitation	1	185.64
Direito+L	MID-PAC	Precipitation	2	228.86
Direito+L	BS-SAP	Precipitation	1	339.98
Direito+L	BS-SAP	Precipitation	2	355.27
Direito+L	BS-LAC	Precipitation	1	120.99
Direito+L	BS-LAC	Precipitation	2	88.72
Direito+L	SG-CLY	Precipitation	1	488.55
Direito+L	SG-CLY	Precipitation	2	579.45
Direito	BLANK_BEADS	Magnetic_Beads	1	0
Direito	BLANK_PCI	Precipitation	1	3.6
