Buffer	Mineral	Extraction	Replicate	Value
unbound_DNA	Bentonite	Magnetic_Beads	1	0
unbound_DNA	Bentonite	Magnetic_Beads	2	8.96
unbound_DNA	Bentonite	Magnetic_Beads	3	0
unbound_DNA	Bentonite	Magnetic_Beads	4	8.96
unbound_DNA	Sand	Magnetic_Beads	1	73.59
unbound_DNA	Sand	Magnetic_Beads	2	20.32
unbound_DNA	Sand	Magnetic_Beads	3	30.8
unbound_DNA	Sand	Magnetic_Beads	4	34.29
unbound_DNA	Kaolin	Magnetic_Beads	1	0
unbound_DNA	Kaolin	Magnetic_Beads	2	0
unbound_DNA	Kaolin	Magnetic_Beads	3	0
unbound_DNA	Kaolin	Magnetic_Beads	4	8.64
unbound_DNA	Bentonite	Precipitation	1	9.29
unbound_DNA	Bentonite	Precipitation	2	0
unbound_DNA	Bentonite	Precipitation	3	9.29
unbound_DNA	Bentonite	Precipitation	4	9.4
unbound_DNA	Sand	Precipitation	1	19.44
unbound_DNA	Sand	Precipitation	2	17.48
unbound_DNA	Sand	Precipitation	3	32.33
unbound_DNA	Sand	Precipitation	4	11.58
unbound_DNA	Kaolin	Precipitation	1	0
unbound_DNA	Kaolin	Precipitation	2	8.53
unbound_DNA	Kaolin	Precipitation	3	9.07
unbound_DNA	Kaolin	Precipitation	4	9.18
