Buffer	Mineral	Extraction	Replicate	Value
unbound_DNA	N-PAC	Magnetic_Beads	1	0
unbound_DNA	N-PAC	Magnetic_Beads	2	18.74
unbound_DNA	MID-PAC	Magnetic_Beads	1	0
unbound_DNA	MID-PAC	Magnetic_Beads	2	16.43
unbound_DNA	BS-SAP	Magnetic_Beads	1	23.5
unbound_DNA	BS-SAP	Magnetic_Beads	2	22.93
unbound_DNA	BS-LAC	Magnetic_Beads	1	0
unbound_DNA	BS-LAC	Magnetic_Beads	2	16.75
unbound_DNA	SG-CLY	Magnetic_Beads	1	0
unbound_DNA	SG-CLY	Magnetic_Beads	2	0
unbound_DNA	N-PAC	Precipitation	1	69.81
unbound_DNA	N-PAC	Precipitation	2	22.22
unbound_DNA	MID-PAC	Precipitation	1	0
unbound_DNA	MID-PAC	Precipitation	2	16.43
unbound_DNA	BS-SAP	Precipitation	1	169.43
unbound_DNA	BS-SAP	Precipitation	2	61.83
unbound_DNA	BS-LAC	Precipitation	1	16.37
unbound_DNA	BS-LAC	Precipitation	2	16.69
unbound_DNA	SG-CLY	Precipitation	1	21.32
unbound_DNA	SG-CLY	Precipitation	2	18.42
