Range	Sample_ID	Sediment_ID	Buffer	Method	Value
157-177 bp	400	N_PAC	Rohland	Mag_Beads	0.19712500163426500000
177-202 bp	400	N_PAC	Rohland	Mag_Beads	0.31272634565351000000
202-227 bp	400	N_PAC	Rohland	Mag_Beads	0.19445134467295100000
227-277 bp	400	N_PAC	Rohland	Mag_Beads	0.18760050727574600000
277-327 bp	400	N_PAC	Rohland	Mag_Beads	0.06652110816217140000
327-427 bp	400	N_PAC	Rohland	Mag_Beads	0.04157569260135710000
157-177 bp	401	MID_PAC	Rohland	Mag_Beads	0.57818841238112600000
177-202 bp	401	MID_PAC	Rohland	Mag_Beads	0.35144845235931900000
202-227 bp	401	MID_PAC	Rohland	Mag_Beads	0.04611121206614570000
227-277 bp	401	MID_PAC	Rohland	Mag_Beads	0.01973166151795990000
277-327 bp	401	MID_PAC	Rohland	Mag_Beads	0.00302107941123024000
327-427 bp	401	MID_PAC	Rohland	Mag_Beads	0.00149918226421952000
157-177 bp	402	BS_SAP	Rohland	Mag_Beads	0.21125034751897200000
177-202 bp	402	BS_SAP	Rohland	Mag_Beads	0.35772315866429100000
202-227 bp	402	BS_SAP	Rohland	Mag_Beads	0.18696005848615600000
227-277 bp	402	BS_SAP	Rohland	Mag_Beads	0.15583265545682000000
277-327 bp	402	BS_SAP	Rohland	Mag_Beads	0.05275080572917200000
327-427 bp	402	BS_SAP	Rohland	Mag_Beads	0.03548297414458850000
157-177 bp	403	BS_LAC	Rohland	Mag_Beads	0.21152565185444600000
177-202 bp	403	BS_LAC	Rohland	Mag_Beads	0.36824883431875500000
202-227 bp	403	BS_LAC	Rohland	Mag_Beads	0.19207817446419900000
227-277 bp	403	BS_LAC	Rohland	Mag_Beads	0.15273686162213400000
277-327 bp	403	BS_LAC	Rohland	Mag_Beads	0.04661008219855380000
327-427 bp	403	BS_LAC	Rohland	Mag_Beads	0.02880039554191300000
157-177 bp	404	SG_CLY	Rohland	Mag_Beads	0.09429663947130860000
177-202 bp	404	SG_CLY	Rohland	Mag_Beads	0.25327025599972700000
202-227 bp	404	SG_CLY	Rohland	Mag_Beads	0.19684556556693000000
227-277 bp	404	SG_CLY	Rohland	Mag_Beads	0.22010781625249100000
277-327 bp	404	SG_CLY	Rohland	Mag_Beads	0.11412682461548900000
327-427 bp	404	SG_CLY	Rohland	Mag_Beads	0.12135289809405400000
157-177 bp	405	N_PAC	Rohland	Precipitation	0.33395809304113800000
177-202 bp	405	N_PAC	Rohland	Precipitation	0.39576124567474000000
202-227 bp	405	N_PAC	Rohland	Precipitation	0.15196078431372500000
227-277 bp	405	N_PAC	Rohland	Precipitation	0.09731833910034600000
277-327 bp	405	N_PAC	Rohland	Precipitation	0.01802191464821220000
327-427 bp	405	N_PAC	Rohland	Precipitation	0.00297962322183775000
157-177 bp	406	MID_PAC	Rohland	Precipitation	0.60754891928106600000
177-202 bp	406	MID_PAC	Rohland	Precipitation	0.34918274694272200000
202-227 bp	406	MID_PAC	Rohland	Precipitation	0.02835933127159040000
227-277 bp	406	MID_PAC	Rohland	Precipitation	0.01192946351336830000
277-327 bp	406	MID_PAC	Rohland	Precipitation	0.00150955770524614000
327-427 bp	406	MID_PAC	Rohland	Precipitation	0.00146998128600747000
157-177 bp	407	BS_SAP	Rohland	Precipitation	0.34563802348009500000
177-202 bp	407	BS_SAP	Rohland	Precipitation	0.33420514140907700000
202-227 bp	407	BS_SAP	Rohland	Precipitation	0.14712325920706100000
227-277 bp	407	BS_SAP	Rohland	Precipitation	0.11320405277826700000
277-327 bp	407	BS_SAP	Rohland	Precipitation	0.03595191955876570000
327-427 bp	407	BS_SAP	Rohland	Precipitation	0.02387760356673400000
157-177 bp	408	BS_LAC	Rohland	Precipitation	0.29044254369654100000
177-202 bp	408	BS_LAC	Rohland	Precipitation	0.44432207187878400000
202-227 bp	408	BS_LAC	Rohland	Precipitation	0.14606516577509500000
227-277 bp	408	BS_LAC	Rohland	Precipitation	0.08424159205118670000
277-327 bp	408	BS_LAC	Rohland	Precipitation	0.02166471188412430000
327-427 bp	408	BS_LAC	Rohland	Precipitation	0.01326391471426800000
157-177 bp	409	SG_CLY	Rohland	Precipitation	0.14924631586418600000
177-202 bp	409	SG_CLY	Rohland	Precipitation	0.28274467009129400000
202-227 bp	409	SG_CLY	Rohland	Precipitation	0.18423784301722100000
227-277 bp	409	SG_CLY	Rohland	Precipitation	0.18409588956021000000
277-327 bp	409	SG_CLY	Rohland	Precipitation	0.09439017682077490000
327-427 bp	409	SG_CLY	Rohland	Precipitation	0.10528510464631400000
157-177 bp	412	N_PAC	Direito	Mag_Beads	0.05919568182732430000
177-202 bp	412	N_PAC	Direito	Mag_Beads	0.26097188141115900000
202-227 bp	412	N_PAC	Direito	Mag_Beads	0.23404547100190500000
227-277 bp	412	N_PAC	Direito	Mag_Beads	0.25830045090675000000
277-327 bp	412	N_PAC	Direito	Mag_Beads	0.10873142706683900000
327-427 bp	412	N_PAC	Direito	Mag_Beads	0.07875508778602230000
157-177 bp	413	MID_PAC	Direito	Mag_Beads	0.34371584269751300000
177-202 bp	413	MID_PAC	Direito	Mag_Beads	0.48380344266291300000
